<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACWI.US,D,20120927,000000,36.4398,36.7528,36.3617,36.6648,259670,0
ACWI.US,D,20120928,000000,36.4482,36.4482,36.1739,36.2661,426528,0
ACWI.US,D,20121001,000000,36.5866,36.7714,36.3877,36.4621,714592,0
ACWI.US,D,20121002,000000,36.6871,36.7577,36.4062,36.5558,509031,0
ACWI.US,D,20121003,000000,36.6005,36.6321,36.383,36.5393,800658,0
ACWI.US,D,20121004,000000,36.7269,36.8802,36.6498,36.858,662632,0
ACWI.US,D,20121005,000000,37.1451,37.1824,36.8198,36.9043,1304360,0
ACWI.US,D,20121008,000000,36.6692,36.7577,36.6237,36.7093,1132155,0
ACWI.US,D,20121009,000000,36.6005,36.6405,36.2585,36.2593,1734020,0
ACWI.US,D,20121010,000000,36.3125,36.3617,36.0635,36.1415,814114,0
ACWI.US,D,20121011,000000,36.4694,36.5225,36.2827,36.2827,372701,0
ACWI.US,D,20121012,000000,36.345,36.4312,36.1415,36.2195,963669,0
ACWI.US,D,20121015,000000,36.3775,36.4917,36.2195,36.4621,1470121,0
ACWI.US,D,20121016,000000,36.8049,36.9312,36.7035,36.9043,801235,0
ACWI.US,D,20121017,000000,37.107,37.2223,36.9499,37.1926,763331,0
ACWI.US,D,20121018,000000,37.0987,37.2854,36.9732,37.0893,1423112,0
ACWI.US,D,20121019,000000,36.9732,36.9917,36.4621,36.5225,340274,0
ACWI.US,D,20121022,000000,36.6692,36.7416,36.4138,36.6953,330948,0
ACWI.US,D,20121023,000000,36.212,36.212,35.8804,36.0961,842274,0
ACWI.US,D,20121024,000000,36.383,36.4983,36.0317,36.081,1389714,0
ACWI.US,D,20121025,000000,36.383,36.4779,36.0578,36.2593,393799,0
ACWI.US,D,20121026,000000,36.1173,36.2661,35.9789,36.1341,566673,0
ACWI.US,D,20121031,000000,36.4983,36.4983,35.9639,36.081,1091915,0
ACWI.US,D,20121101,000000,36.2754,36.5773,36.2426,36.5634,1530259,0
ACWI.US,D,20121102,000000,36.6777,36.6777,36.2046,36.2593,1549064,0
ACWI.US,D,20121105,000000,36.1822,36.3413,36.1034,36.2911,209433,0
ACWI.US,D,20121106,000000,36.3617,36.6648,36.3617,36.4045,754353,0
ACWI.US,D,20121107,000000,36.345,36.345,35.7019,35.9249,606277,0
ACWI.US,D,20121108,000000,35.8469,36.0254,35.5225,35.5532,1186894,0
ACWI.US,D,20121109,000000,35.5078,35.7893,35.4063,35.5225,1234196,0
ACWI.US,D,20121112,000000,35.6174,35.6778,35.5078,35.5616,335809,0
ACWI.US,D,20121113,000000,35.2346,35.6778,35.2346,35.384,512904,0
ACWI.US,D,20121114,000000,35.5292,35.5292,34.8609,34.9316,688889,0
ACWI.US,D,20121115,000000,35.1165,35.1369,34.8375,34.9698,381492,0
ACWI.US,D,20121116,000000,35.0003,35.1165,34.7048,35.0952,1326389,0
ACWI.US,D,20121119,000000,35.4528,35.7874,35.4528,35.7781,649603,0
ACWI.US,D,20121120,000000,35.6693,35.8116,35.5327,35.7874,530285,0
ACWI.US,D,20121121,000000,35.8116,35.9027,35.7614,35.9027,1091599,0
ACWI.US,D,20121123,000000,36.2195,36.4621,36.2046,36.4621,356078,0
ACWI.US,D,20121126,000000,36.3049,36.383,36.1581,36.383,753731,0
ACWI.US,D,20121127,000000,36.329,36.4045,36.1341,36.1822,515674,0
ACWI.US,D,20121128,000000,35.9789,36.4398,35.8237,36.4398,839278,0
ACWI.US,D,20121129,000000,36.6005,36.7344,36.4694,36.6692,478251,0
ACWI.US,D,20121130,000000,36.6871,36.7269,36.5727,36.6571,926865,0
ACWI.US,D,20121203,000000,36.8114,36.8514,36.5773,36.6005,1291510,0
ACWI.US,D,20121204,000000,36.6571,36.7714,36.5634,36.6089,1821289,0
ACWI.US,D,20121205,000000,36.7483,36.9388,36.5558,36.7874,1084766,0
ACWI.US,D,20121206,000000,36.8114,36.896,36.7269,36.8886,728846,0
ACWI.US,D,20121207,000000,36.9647,36.9917,36.7874,36.9499,670667,0
ACWI.US,D,20121210,000000,36.9499,37.0521,36.897,37.0299,2554309,0
ACWI.US,D,20121211,000000,37.0521,37.3235,37.0521,37.2231,620194,0
ACWI.US,D,20121212,000000,37.2936,37.5252,37.2621,37.3011,971466,0
ACWI.US,D,20121213,000000,37.2092,37.316,37.0084,37.0893,1902866,0
ACWI.US,D,20121214,000000,37.107,37.184,37.0299,37.0987,1821222,0
ACWI.US,D,20121217,000000,37.0827,37.3856,37.0436,37.3699,4541385,0
ACWI.US,D,20121218,000000,37.4876,37.7897,37.4002,37.7521,1202789,0
ACWI.US,D,20121219,000000,37.892,37.908,37.5878,37.6115,4800516,0
ACWI.US,D,20121220,000000,37.6744,37.9146,37.6499,37.9146,2980537,0
ACWI.US,D,20121221,000000,37.3712,37.6039,37.3522,37.5878,1416692,0
ACWI.US,D,20121224,000000,37.5559,37.6199,37.4313,37.495,211178,0
ACWI.US,D,20121226,000000,37.6115,37.6199,37.3195,37.3918,1012774,0
ACWI.US,D,20121227,000000,37.5814,37.5814,37.1328,37.4397,1383796,0
ACWI.US,D,20121228,000000,37.3082,37.4002,37.1328,37.1552,1288735,0
ACWI.US,D,20121231,000000,37.0859,37.7521,37.007,37.7193,1170355,0
ACWI.US,D,20130102,000000,38.3801,38.4983,38.214,38.4749,2929445,0
ACWI.US,D,20130103,000000,38.3491,38.506,38.2235,38.3088,1997873,0
ACWI.US,D,20130104,000000,38.3172,38.5208,38.2478,38.4749,1784654,0
ACWI.US,D,20130107,000000,38.2768,38.3566,38.1811,38.3172,1908532,0
ACWI.US,D,20130108,000000,38.214,38.2478,37.9924,38.1285,390339,0
ACWI.US,D,20130109,000000,38.2552,38.3415,38.2055,38.2617,519383,0
ACWI.US,D,20130110,000000,38.5781,38.6935,38.3801,38.6702,665366,0
ACWI.US,D,20130111,000000,38.6702,38.6935,38.5208,38.6561,542569,0
ACWI.US,D,20130114,000000,38.685,38.6935,38.5369,38.6644,604110,0
ACWI.US,D,20130115,000000,38.442,38.6561,38.442,38.6316,357937,0
ACWI.US,D,20130116,000000,38.458,38.6222,38.442,38.5857,1072330,0
ACWI.US,D,20130117,000000,38.8137,38.9441,38.7264,38.8503,1936569,0
ACWI.US,D,20130118,000000,38.8662,38.9215,38.6935,38.9057,1175595,0
ACWI.US,D,20130122,000000,38.9057,39.008,38.7339,39.008,1643247,0
ACWI.US,D,20130123,000000,38.9215,38.9845,38.8335,38.9527,845732,0
ACWI.US,D,20130124,000000,38.9527,39.1701,38.9366,39.022,610698,0
ACWI.US,D,20130125,000000,39.1711,39.2651,39.085,39.2651,757783,0
ACWI.US,D,20130128,000000,39.2332,39.2577,39.0127,39.1327,1355817,0
ACWI.US,D,20130129,000000,39.2961,39.4116,39.1638,39.3844,1421730,0
ACWI.US,D,20130130,000000,39.3665,39.4068,39.2258,39.2577,2366700,0
ACWI.US,D,20130131,000000,39.312,39.3204,39.1402,39.1412,1093636,0
ACWI.US,D,20130201,000000,39.4304,39.557,39.3046,39.4923,2501379,0
ACWI.US,D,20130204,000000,39.2501,39.2501,38.9141,38.9366,1631187,0
ACWI.US,D,20130205,000000,39.0765,39.3046,39.0718,39.1966,1344765,0
ACWI.US,D,20130206,000000,39.0127,39.2173,39.0015,39.2173,1050287,0
ACWI.US,D,20130207,000000,39.1966,39.1966,38.7809,39.0652,2484444,0
ACWI.US,D,20130208,000000,39.1873,39.312,39.1711,39.2726,1661179,0
ACWI.US,D,20130211,000000,39.2726,39.2726,39.1412,39.2096,282238,0
ACWI.US,D,20130212,000000,39.2258,39.4566,39.2173,39.3599,1165018,0
ACWI.US,D,20130213,000000,39.4923,39.5655,39.3665,39.4471,372220,0
ACWI.US,D,20130214,000000,39.2096,39.4154,39.2023,39.3665,422527,0
ACWI.US,D,20130215,000000,39.4068,39.4304,39.1796,39.3046,1092010,0
ACWI.US,D,20130219,000000,39.4923,39.6264,39.4388,39.5944,1339232,0
ACWI.US,D,20130220,000000,39.6518,39.6668,39.1711,39.1796,562944,0
ACWI.US,D,20130221,000000,38.9301,38.9301,38.6664,38.8203,865926,0
ACWI.US,D,20130222,000000,39.085,39.2023,38.9301,39.1966,543488,0
ACWI.US,D,20130225,000000,39.4154,39.4688,38.4485,38.4654,1657183,0
ACWI.US,D,20130226,000000,38.6702,38.7893,38.4205,38.6935,754249,0
ACWI.US,D,20130227,000000,38.6561,39.2332,38.6476,39.1564,1895210,0
ACWI.US,D,20130228,000000,39.1327,39.3599,39.0765,39.1027,455761,0
ACWI.US,D,20130301,000000,38.9215,39.1638,38.7649,39.1412,771532,0
ACWI.US,D,20130304,000000,39.0558,39.2258,38.9441,39.2258,621164,0
ACWI.US,D,20130305,000000,39.4632,39.6894,39.4632,39.5871,444032,0
ACWI.US,D,20130306,000000,39.7832,39.7832,39.5806,39.6894,1330693,0
ACWI.US,D,20130307,000000,39.7917,39.8309,39.7288,39.801,454025,0
ACWI.US,D,20130308,000000,39.9249,39.9644,39.7532,39.9343,348960,0
ACWI.US,D,20130311,000000,39.878,40.03,39.8236,40.03,369497,0
ACWI.US,D,20130312,000000,40.0216,40.0216,39.7683,39.8396,1161788,0
ACWI.US,D,20130313,000000,39.8236,39.878,39.6574,39.8171,1001861,0
ACWI.US,D,20130314,000000,39.9494,40.0826,39.8865,40.0357,1264722,0
ACWI.US,D,20130315,000000,40.0517,40.0996,39.9175,40.0216,542733,0
ACWI.US,D,20130318,000000,39.5655,39.878,39.5334,39.6752,985330,0
ACWI.US,D,20130319,000000,39.7758,39.7878,39.2961,39.5401,1163723,0
ACWI.US,D,20130320,000000,39.7917,39.8621,39.7061,39.8171,1100259,0
ACWI.US,D,20130321,000000,39.5334,39.6781,39.3844,39.3844,970250,0
ACWI.US,D,20130322,000000,39.5739,39.7203,39.5334,39.6978,674592,0
ACWI.US,D,20130325,000000,39.8621,39.8621,39.2961,39.4688,998707,0
ACWI.US,D,20130326,000000,39.5944,39.7458,39.5383,39.7288,2723608,0
ACWI.US,D,20130327,000000,39.4632,39.7118,39.3749,39.6818,1153591,0
ACWI.US,D,20130328,000000,39.6978,39.8545,39.6518,39.8171,804573,0
